"run","id","auc","pauc","k_pca"
45,"04",0.600763494318182,0.0092388731060606,488
45,"06",0.885028391521898,0.0504413335582167,479
46,"00",0.520509650018816,0.00431159615074458,466
46,"02",0.75794108715457,0.0183449741876708,507
46,"04",0.570371685606061,0.0136896306818182,488
46,"06",0.8495,0.0398571428571428,489
47,"00",0.566735063943501,0.00615575491506012,465
47,"02",0.71737258953168,0.0161960514233241,501
47,"04",0.563527529515613,0.0129648019419618,487
47,"06",0.829594748858448,0.0444520547945206,483
48,"00",0.520161859502188,0.00507222509763327,466
48,"02",0.734902506963788,0.0189136490250696,505
48,"04",0.544196151458721,0.00589695841092489,483
48,"06",0.901501096306291,0.0407938381964356,486
49,"00",0.511452567283833,0.0079929375835083,470
49,"02",0.737649567586779,0.0193934367965881,509
49,"04",0.509577241301145,0.00317352374475802,482
49,"06",0.831849185297461,0.0232221801187318,486
50,"00",0.511388393741335,0.00881857793622499,463
50,"02",0.745202843551232,0.0269549414720188,499
50,"04",0.542458631484794,0.0106831395348837,484
50,"06",0.79911822165901,0.0300992660647341,479
51,"00",0.516828872668289,0.00646289537712895,475
51,"02",0.696865520728008,0.018541456016178,503
51,"04",0.576628802715759,0.0163076119597859,488
51,"06",0.798649478207489,0.0203610692560969,474
52,"00",0.526436342813514,0.0114477953807979,473
52,"02",0.752238292011019,0.0213269054178145,502
52,"04",0.546597350721062,0.00835022175228361,491
52,"06",0.810203568735863,0.016725307866298,487
53,"00",0.523668639053254,0.00694737954353339,474
53,"02",0.756799797775531,0.0198432760364004,505
53,"04",0.523888337195189,0.00527970870572658,494
53,"06",0.84505537752291,0.0323213582953843,493
54,"00",0.456896551724138,0.00708538587848933,471
54,"02",0.670391061452514,0.0147104375241993,502
54,"04",0.517015861742424,0.0102272727272727,488
54,"06",0.826866861546638,0.0369598724422004,479
55,"00",0.519941446169143,0.00780533613213279,471
55,"02",0.689265844878368,0.0141294862005018,506
55,"04",0.626321369074663,0.0211509919733454,485
55,"06",0.911027349228612,0.0579125759700795,487
56,"00",0.538962698007154,0.00212059274399591,479
56,"02",0.729096891709266,0.0156207767788942,502
56,"04",0.523777998455258,0.00340946706388613,488
56,"06",0.792151571372351,0.0179569348400517,474
57,"00",0.553831775700935,0.00373598130841121,470
57,"02",0.703084077182105,0.0106686621412155,505
57,"04",0.555359368508517,0.010765475695887,485
57,"06",0.866761538032256,0.0393325520397344,483
58,"00",0.521713870733479,0.00386831275720164,478
58,"02",0.717875515857312,0.0126801967324326,507
58,"04",0.509258995063771,0.00970411162153679,490
58,"06",0.849054263565892,0.0425860465116279,493
59,"00",0.495499569336779,0.00932385874246339,475
59,"02",0.71448167744464,0.0131752563851329,510
59,"04",0.556521019529957,0.00870572658060245,490
59,"06",0.840215194712983,0.020558195423016,486
60,"00",0.532638828727367,0.001728320194057,473
60,"02",0.67717216660487,0.0116580150784823,507
60,"04",0.525862353523684,0.00960224459481762,498
60,"06",0.874834627552488,0.0462323842392867,485
61,"00",0.542063492063492,0.00428571428571428,475
61,"02",0.699187432286024,0.0162296858071506,508
61,"04",0.533617424242424,0.0106889204545455,491
61,"06",0.825297170601038,0.0309085328422345,487
62,"00",0.515160475243266,0.00910166120101069,472
62,"02",0.680762210299242,0.0159107251507274,502
62,"04",0.543998807216341,0.0144028626807813,493
62,"06",0.820979823607587,0.0281714389271475,484
63,"00",0.507434052757794,0.00231814548361311,474
